param,factor,value,delta_loss,rmse_ml,velocity_rmse_mlps,drain_time_error_s
pref_flow_coeff,0.6,3.076393456787762e-05,0.2428613392793899,13.64745661116893,1.2553321721452797,1.0535117056856222
pref_flow_coeff,0.8,4.101857942383683e-05,0.27404609873448393,13.676164679913198,1.2550581769266742,1.0535117056856222
pref_flow_coeff,1.0,5.127322427979604e-05,0.0,13.70107244085135,1.2546613257323018,0.4515050167224217
pref_flow_coeff,1.2,6.152786913575524e-05,0.046340302883010054,13.744162647135092,1.254588839495175,0.4515050167224217
pref_flow_coeff,1.4,7.178251399171445e-05,0.08524306447808172,13.780367054694269,1.2545899419859872,0.4515050167224217
pref_flow_open_rate,0.6,0.1524447276788844,0.25858490739036455,13.66214042909607,1.2555528094268642,1.0535117056856222
pref_flow_open_rate,0.8,0.20325963690517923,0.2843615356718132,13.685956506425107,1.2550587016296535,1.0535117056856222
pref_flow_open_rate,1.0,0.254074546131474,0.0,13.70107244085135,1.2546613257323018,0.4515050167224217
pref_flow_open_rate,1.2,0.3048894553577688,0.038276262148432494,13.736715383484608,1.2547879059848885,0.4515050167224217
pref_flow_open_rate,1.4,0.35570436458406357,0.08081123940681678,13.776359441330976,1.2545809893439372,0.4515050167224217
pref_flow_tau_decay,0.6,1.884084984225257,0.2442432347488186,13.650036546566275,1.2546138594229213,1.0535117056856222
pref_flow_tau_decay,0.8,2.512113312300343,0.27901891979347226,13.681555137664343,1.2545513534469195,1.0535117056856222
pref_flow_tau_decay,1.0,3.1401416403754285,0.0,13.70107244085135,1.2546613257323018,0.4515050167224217
pref_flow_tau_decay,1.2,3.768169968450514,0.04963497123601712,13.746269624084391,1.2556922348948214,0.4515050167224217
pref_flow_tau_decay,1.4,4.3961982965256,0.10090549976018082,13.79315127353696,1.256566231481937,0.4515050167224217
