case_label,contact_mode,early_t2_rmse_C,late_t2_rmse_C,early_t2_mean_residual_C,late_t2_mean_residual_C,early_delta_vs_effluent_C,late_delta_vs_effluent_C,h3_status
kinu28 4:20,effluent,20.528642863967686,6.615594475777667,16.35777774047211,-4.370180106293919,0.0,0.0,baseline
kinu28 4:20,contact_tau6_w35,11.189297808516036,17.502445098351192,-9.163979204888514,-17.402336847474523,-9.33934505545165,10.886850622573526,partial
kinu28 4:20,contact_tau12_w45,21.566451957944945,23.963721335748367,-20.352868424176847,-23.95143737252386,1.037809093977259,17.3481268599707,not_supported
kinu28 4:20,contact_tau20_w55,28.900369291988497,31.600977515065864,-27.567402026168935,-31.58865022124744,8.37172642802081,24.985383039288198,not_supported
kinu29 4:12,effluent,15.018423874713443,7.844408660299965,9.907047715089504,-4.683280746288016,0.0,0.0,baseline
kinu29 4:12,contact_tau6_w35,15.325167877158076,19.63068438287154,-14.726717015854824,-19.490321119244044,0.30674400244463307,11.786275722571574,not_supported
kinu29 4:12,contact_tau12_w45,26.191818849453963,25.972043380239533,-25.943032897540093,-25.873947821572905,11.17339497474052,18.127634719939568,not_supported
kinu29 4:12,contact_tau20_w55,33.93072465546998,33.37147945545857,-33.62054678272785,-33.274996231123794,18.91230078075654,25.527070795158604,not_supported
kinu29 4:11,effluent,3.906165313680133,6.448669660348708,2.6085545707849036,1.4416776987576156,0.0,0.0,baseline
kinu29 4:11,contact_tau6_w35,20.782256788265983,13.303023383739388,-20.462811898392477,-12.950381590875113,16.87609147458585,6.85435372339068,not_supported
kinu29 4:11,contact_tau12_w45,31.135665296319978,20.313408636197533,-30.975610946163386,-20.084933980517988,27.229499982639844,13.864738975848825,not_supported
kinu29 4:11,contact_tau20_w55,37.96678464416863,28.05540560342884,-37.92492028468455,-27.888624697602026,34.06061933048849,21.606735943080132,not_supported
