dose_g,roast,grinder,grinder_setting,bed_height_cm,brew_temp_C,final_coffee_temp_C,time_mmss,time_s,poured_weight_g,drained_volume_ml,retained_mass_g,phase,use_for_fit,notes
20,light,Kinu,29,5.3,92.0,74.6,00:00,0,0.0,0.0,0.0,start,1,第一注（悶蒸）開始
20,light,Kinu,29,5.3,92.0,74.6,00:05,5,31.7,0.5,31.2,bloom_first_drip,1,第一滴咖啡落地
20,light,Kinu,29,5.3,92.0,74.6,00:10,10,46.8,8.0,38.8,bloom_pause,1,注水暫停，粉床吸水膨脹
20,light,Kinu,29,5.3,92.0,74.6,00:15,15,46.8,15.0,31.8,bloom_drain,1,
20,light,Kinu,29,5.3,92.0,74.6,00:20,20,46.8,22.0,24.8,bloom_drain,1,
20,light,Kinu,29,5.3,92.0,74.6,00:25,25,46.7,28.0,18.7,bloom_drain,1,
20,light,Kinu,29,5.3,92.0,74.6,00:30,30,46.6,32.0,14.6,bloom_end,1,悶蒸結束點
20,light,Kinu,29,5.3,92.0,74.6,00:35,35,65.7,38.0,27.7,pour_2_start,1,第二注開始，水位回升
20,light,Kinu,29,5.3,92.0,74.6,00:40,40,94.4,48.0,46.4,pour_2_rise,1,
20,light,Kinu,29,5.3,92.0,74.6,00:45,45,121.5,62.0,59.5,pour_2_end,1,第二注結束
20,light,Kinu,29,5.3,92.0,74.6,00:50,50,121.4,75.0,46.4,pause_1,1,
20,light,Kinu,29,5.3,92.0,74.6,00:55,55,137.0,82.0,55.0,pour_3_start,1,第三注開始
20,light,Kinu,29,5.3,92.0,74.6,01:00,60,170.3,90.0,80.3,pour_3_end,1,第三注結束
20,light,Kinu,29,5.3,92.0,74.6,01:05,65,170.2,95.0,75.2,pause_2,1,
20,light,Kinu,29,5.3,92.0,74.6,01:10,70,170.1,99.0,71.1,pause_2,1,
20,light,Kinu,29,5.3,92.0,74.6,01:14,74,173.6,102.0,71.6,pour_4_start,1,標定點：第四注開始
20,light,Kinu,29,5.3,92.0,74.6,01:15,75,202.9,105.0,97.9,pour_4_rise,1,
20,light,Kinu,29,5.3,92.0,74.6,01:20,80,241.1,130.0,111.1,pour_4_end,1,第四注結束
20,light,Kinu,29,5.3,92.0,74.6,01:25,85,241.0,155.0,86.0,pause_3,1,通過 150ml 刻度
20,light,Kinu,29,5.3,92.0,74.6,01:30,90,241.0,180.0,61.0,pause_3,1,
20,light,Kinu,29,5.3,92.0,74.6,01:35,95,240.8,200.0,40.8,pause_3,1,
20,light,Kinu,29,5.3,92.0,74.6,01:37,97,246.4,208.0,38.4,final_pour_start,1,最後一注開始
20,light,Kinu,29,5.3,92.0,74.6,01:40,100,264.8,215.0,49.8,final_pour_rise,1,
20,light,Kinu,29,5.3,92.0,74.6,01:45,105,302.7,225.0,77.7,final_pour_end,1,最後一注結束，水位最高點
20,light,Kinu,29,5.3,92.0,74.6,01:50,110,302.7,232.0,70.7,drawdown,1,
20,light,Kinu,29,5.3,92.0,74.6,01:55,115,302.7,238.0,64.7,drawdown,1,
20,light,Kinu,29,5.3,92.0,74.6,02:00,120,302.6,243.0,59.6,drawdown,1,
20,light,Kinu,29,5.3,92.0,74.6,02:05,125,302.4,246.0,56.4,drawdown,1,
20,light,Kinu,29,5.3,92.0,74.6,02:10,130,302.3,248.0,54.3,drawdown,1,
20,light,Kinu,29,5.3,92.0,74.6,02:15,135,302.1,249.0,53.1,flow_stop_visual,0,
20,light,Kinu,29,5.3,92.0,74.6,02:22,142,302.1,250.0,52.1,dripper_off_final,1,最終靜置平衡點
