max_EY,tds_pct,tds_gap_pctpt,ey_pct,m_extracted_g,m_sol_0_g,t2_rmse_C
0.22,0.4799200445708072,-0.8800799554291929,6.594008749193911,1.3188017498387823,nan,7.923325465645129
0.23,0.49812970952478713,-0.8618702904752129,6.844503864052228,1.3689007728104456,nan,7.923468338369778
0.24,0.5162591396548616,-0.8437408603451385,7.093270420796528,1.4186540841593056,nan,7.92224073352778
0.25,0.534157351999285,-0.825842648000715,7.3393921885519156,1.467878437710383,nan,7.923664650982577
0.26,0.5520509391405787,-0.8079490608594214,7.583436545430224,1.5166873090860449,nan,7.923219598369609
0.27,0.5696552884203345,-0.7903447115796656,7.825464859417344,1.5650929718834687,nan,7.923565500351869
0.28,0.5872751933932304,-0.7727248066067697,8.06569641637103,1.613139283274206,nan,7.922025183854215
0.29000000000000004,0.6042729053074933,-0.7557270946925068,8.304251412531453,1.6608502825062905,nan,7.923036930245993
0.30000000000000004,0.6214989416650085,-0.7385010583349916,8.539790151689234,1.7079580303378468,nan,7.923436307835049
0.31000000000000005,0.6384497760976756,-0.7215502239023245,8.773422595334328,1.7546845190668656,nan,7.923746383334506
0.32,0.6554572252930324,-0.7045427747069677,9.006036748739351,1.8012073497478704,nan,7.922674443973783
0.33,0.6723374939089267,-0.6876625060910734,9.235663556743303,1.8471327113486604,nan,7.922374301336717
0.34,0.68868982723517,-0.6713101727648301,9.463677105637807,1.8927354211275613,nan,7.924129415855209
0.35000000000000003,0.7053383759124137,-0.6546616240875864,9.689705563773781,1.9379411127547561,nan,7.92250050071009
0.36,0.7215579762060156,-0.6384420237939845,9.913703600973523,1.9827407201947047,nan,7.922674964309215
0.37,0.7377852708832286,-0.6222147291167714,10.13524193796195,2.02704838759239,nan,7.923523391643592
0.38,0.7536463041080432,-0.6063536958919569,10.355809884409517,2.0711619768819034,nan,7.923470770098379
0.39,0.7695038004990427,-0.5904961995009574,10.574381648595425,2.114876329719085,nan,7.923524761836159
0.4,0.7854189538647873,-0.5745810461352128,10.790351188578239,2.1580702377156475,nan,7.923319634827628
